Gemcitabine,Gefitinib,Cisplatin,Doxorubicin,Docetaxel,Paclitaxel,Carboplatin
1.432058511,-0.999728809,-1.51923559,-0.999870421,2.013280372,0.534341718,1.821060879
-1.000066848,-1.000299686,-0.999972598,-0.999588337,1.889410876,1.226586207,1.811340795
1.234470523,-1.049232949,-1.398877323,1.200795696,1.193032413,1.000114859,-2.20166466
-1.474753488,-1.705309846,-2.095724145,-0.999805283,-0.86000752,-0.461021595,1.146268641
-1.000247493,0.454483524,-1.964471244,-1.116464927,0.393404172,-0.04458947,1.079563202
-0.786186265,-1.477773815,0.999479639,-0.095511299,1.283136002,0.579221241,1.080758921
2.300862064,-0.857732417,1.249246784,0.408297233,2.417815112,0.656624145,0.782348489
1.000082211,-1.30998544,1.426574196,-0.063803905,1.142483917,1.000089435,0.143157677
1.000347217,-1.417123935,1.348862118,1.805281614,-1.098699122,1.80573308,-1.000458987
1.887155827,-0.898654866,1.068076705,-0.020523554,0.607945997,1.466707309,1.332434449
2.21180609,-1.192881638,1.534806855,2.093179024,1.000075077,2.084688647,-1.242842062
-1.000066848,-0.761330944,-1.000125055,-1.1949998,1.81546778,1.604168081,-1.735408607
-1.000200375,-1.389562139,-1.086728545,-0.554074137,1.793153717,1.252560824,-2.31608422
0.999806224,-0.484221328,-0.205252419,-1.240728014,1.000476917,0.99996195,-2.466573161
-0.99972704,-0.638806129,-1.496370765,-1.239332563,1.024069918,-0.99992462,-1.86591299
-1.914979385,-0.581362219,-1.389604825,-1.81732999,1.000272604,1.529745397,-1.522638749
-1.580372742,-1.069506269,-1.396892412,-1.386503999,1.167523507,1.049527036,-1.271970953
-1.789536688,-1.648531782,-1.214157577,-0.200719513,1.141881486,1.56729952,-2.814940973
1.658954207,-2.184132565,-0.094476677,0.419196922,1.1613874,0.021158446,-1.69483796
-1.160747874,0.999965437,-1.000176289,-1.597195179,-1.294256182,-1.000253503,-1.831428323
1.652052783,-1.629643924,2.215140514,0.99959642,1.68125991,-0.786459405,-0.999541013
0.443015563,-1.409963687,-1.25543117,-0.840469176,-1.01609735,-2.779911178,1.202604249
-1.353658125,-0.999752349,-1.06186711,0.99998678,-0.999759719,-1.408923793,0.824845252
1.000464272,-1.026393215,1.446060444,-0.297037136,0.395290422,-0.085024392,-1.254761824
-2.548687834,0.999965437,-0.99985996,-2.121682123,0.728870991,-0.191819646,-2.246102199
2.277366252,-0.994224129,0.999893109,1.458876464,1.276208059,1.00007538,1.000052493
-0.999691924,-0.455510396,0.043835526,0.999533794,1.000341443,1.534667768,-0.846061841
1.273399061,-1.643696422,1.00037803,1.834166853,1.79809643,1.308699075,0.567739928
1.000137392,-1.029014616,1.945663795,0.945391798,1.00003342,1.052595276,0.99963212
-2.871912632,-0.167577236,-1.657290504,0.671596025,2.197617112,1.424539071,-1.357642351
0.999839301,-0.960358662,1.170028244,1.000003021,1.828471657,1.000062763,0.500135301
0.699469066,1.497652787,-1.000179066,1.237207903,0.99995451,0.99944798,-1.50101239
1.000039776,-0.93654205,1.67159482,0.999694377,1.541459,0.368480929,0.999877753
0.521935931,-1.000152315,0.999820934,0.999687658,1.022820715,1.055263535,-0.383925347
1.361282729,-0.871733626,-0.003648467,-0.297296529,0.794435352,0.671768281,-0.143770315
-1.000464272,0.225541531,1.000464868,1.298336842,-0.999674947,-1.000373751,0.405469958
-1.337766399,-0.854571533,-1.923975908,-1.767417656,1.322042232,2.099488801,0.999846849
-1.642640306,-0.999700314,-0.999907941,-1.00021636,-1.014619793,-0.443085142,-1.000058443
-1.091674955,1.321376508,-2.010746408,-1.000411663,-1.663608823,-1.835016229,-1.162259135
-0.090056621,0.015023984,0.630172181,1.000209502,2.553853507,1.518599021,0.007818761
-1.218135507,-0.923383085,-1.550286663,-0.370932987,-1.028125058,-0.999718658,-0.204634215
1.246070249,-0.440538994,0.999535132,1.137868356,-0.13636374,-0.705517641,1.00014914
-2.735338298,1.321827543,1.009386798,-1.751932134,-1.452725935,-0.473568592,-2.391751644
0.999839241,-1.14956781,-0.115513351,-0.999805283,-1.000259053,-0.999626249,-2.817524955
-2.214911367,-1.598886529,0.396862924,-1.566149083,0.99995451,1.256086978,-1.043407703
-1.495907123,-1.203798821,1.801597943,-1.285299189,-2.377005919,-1.449259412,-0.375023161
-1.021521847,-1.264392126,-1.137654528,-1.000108333,-0.340144519,-0.065075031,-1.41785511
1.00030975,-1.528851797,-0.881187538,-0.962462777,-1.004343032,-0.908463403,-2.597486071
-1.427501585,1.592705462,-1.763983235,-0.179261946,0.079356335,0.443725634,-1.793782437
1.88027729,-0.61045333,-0.681699697,-1.573948802,1.01457535,-0.574136752,0.999941557
-3.543762224,1.078595872,-2.041736921,-1.931112313,0.999523083,0.479621061,1.954417585
2.108585573,-1.290123269,2.630509113,1.475526884,-0.310128057,-0.999816481,0.032905237
2.310611801,1.118413505,-1.000322301,0.290809159,-0.988880143,-0.68885657,-1.000304308
1.398596667,1.000133829,1.000218785,-0.043071751,-1.84097233,-1.000261398,-2.721157447
1.029497622,0.999866426,1.621915407,0.328576243,-0.78653833,-1.397665785,-0.887019239
0.789036371,-0.324354927,0.230163466,-0.230866044,-1.581164124,-0.837128831,-0.96613406
-0.495022014,-1.207294372,-2.698590891,-1.255588803,0.876174897,0.09248049,-2.636424021
-1.514718046,1.130380614,-1.078673173,-2.097401305,-2.464522235,-1.873895872,-1.448273361
1.108352503,0.999953828,0.633897976,-1.04819395,-1.32747514,-1.478217376,-1.555228454
-0.976972227,-2.015937311,-0.674340615,-2.236579137,-0.992233659,-1.679435575,1.766506663
1.790081412,-0.436852669,-2.732753125,-1.337434806,0.939947463,4.561086569,-1.990009224
-1.092047061,0.621827838,-0.719087859,0.228872036,-0.05379479,-0.708209822,-0.991597333
1.431382323,-3.348774808,-0.953493058,-3.065930848,0.21273789,-3.74642629,-0.279806207
1.660896683,-3.180064783,-0.370660612,-2.546037648,-1.643780876,-5.163325373,0.348892567
-2.037974601,-1.11082236,0.521714229,1.075962671,-0.92102761,-1.967335813,-1.97276355
1.036320027,-2.941368066,0.536599641,-0.710591083,2.23275603,-6.240113539,-2.50069079
-1.206151463,0.147449908,-0.621339227,1.37104282,0.111755729,-1.587349585,0.351530731
1.589751969,-3.451962645,0.960971814,1.494861895,-0.543273456,4.630168666,2.731966185
1.413425937,-2.749739649,0.828030421,-2.973556959,2.643311987,1.240374906,1.49344701
-0.202105911,-3.450316387,-2.665487142,-0.817220269,-0.451656809,1.305604347,1.737924314
2.935676769,-1.407377178,-1.364458559,0.632681555,0.442870763,3.489100794,5.176303694
-0.884649227,-3.392044632,2.749372238,1.465113291,1.862188092,-3.362442839,-1.118201972
-0.041397528,-2.145804783,-0.507555508,-2.910316192,-1.122586239,1.820218984,1.741887086
0.095572278,-1.287782268,-0.145473653,-2.178807963,0.21357687,3.151136283,2.679168649
0.442512908,-1.985581126,-0.745717957,-1.071692595,-1.037877337,3.111442351,1.321521268
1.056783111,-2.068224721,0.211487419,-1.341577732,0.129578487,-0.804146156,0.244978805
